INSERT INTO transaction (transactionID, customerID, promoID, posID, DATE, time) VALUES

('T0000001', 'C0000070', '', 'POS00001', 20180101, 083248), 

('T0000002', 'C0000077', '', 'POS00002', 20180101, 090414), 

('T0000003', 'C0000044', '', 'POS00005', 20180102, 100051), 

('T0000004', 'C0000075', '', 'POS00005', 20180103, 152551), 

('T0000005', 'C0000030', '', 'POS00002', 20180103, 154117), 

('T0000006', 'C0000092', '', 'POS00005', 20180104, 102543), 

('T0000007', 'C0000070', '', 'POS00004', 20180104, 160136), 

('T0000008', 'C0000001', '', 'POS00005', 20180106, 092217), 

('T0000009', 'C0000011', '', 'POS00005', 20180106, 193926), 

('T0000010', 'C0000092', '', 'POS00005', 20180108, 123345), 

('T0000011', 'C0000091', '', 'POS00003', 20180108, 124009), 

('T0000012', 'C0000053', '', 'POS00002', 20180109, 123552), 

('T0000013', 'C0000031', '', 'POS00002', 20180111, 181426), 

('T0000014', 'C0000049', '', 'POS00004', 20180112, 195145), 

('T0000015', 'C0000017', '', 'POS00001', 20180114, 080509), 

('T0000016', 'C0000059', '', 'POS00005', 20180115, 104453), 

('T0000017', 'C0000100', '', 'POS00004', 20180115, 114052), 

('T0000018', 'C0000087', '', 'POS00004', 20180117, 173120), 

('T0000019', 'C0000056', '', 'POS00002', 20180118, 182030), 

('T0000020', 'C0000036', '', 'POS00003', 20180120, 181334), 

('T0000021', 'C0000008', '', 'POS00003', 20180120, 190348), 

('T0000022', 'C0000066', '', 'POS00002', 20180121, 103059), 

('T0000023', 'C0000066', '', 'POS00004', 20180121, 114819), 

('T0000024', 'C0000098', '', 'POS00003', 20180121, 191401), 

('T0000025', 'C0000021', '', 'POS00003', 20180121, 192401), 

('T0000026', 'C0000037', '', 'POS00005', 20180121, 193151), 

('T0000027', 'C0000034', '', 'POS00005', 20180122, 105814), 

('T0000028', 'C0000005', '', 'POS00002', 20180123, 115537), 

('T0000029', 'C0000007', '', 'POS00005', 20180124, 140058), 

('T0000030', 'C0000001', '', 'POS00003', 20180125, 160349), 

('T0000031', 'C0000067', '', 'POS00002', 20180125, 170132), 

('T0000032', 'C0000079', '', 'POS00002', 20180125, 194359), 

('T0000033', 'C0000083', '', 'POS00003', 20180126, 160146), 

('T0000034', 'C0000071', '', 'POS00002', 20180128, 110249), 

('T0000035', 'C0000017', '', 'POS00005', 20180128, 174308), 

('T0000036', 'C0000081', '', 'POS00005', 20180128, 192845), 

('T0000037', 'C0000023', '', 'POS00002', 20180129, 081137), 

('T0000038', 'C0000065', '', 'POS00001', 20180129, 083128), 

('T0000039', 'C0000020', '', 'POS00002', 20180129, 112222), 

('T0000040', 'C0000044', '', 'POS00002', 20180130, 123742), 

('T0000041', 'C0000099', '', 'POS00003', 20180131, 140416), 

('T0000042', 'C0000045', '', 'POS00001', 20180201, 110414), 

('T0000043', 'C0000088', '', 'POS00001', 20180201, 114412), 

('T0000044', 'C0000039', '', 'POS00005', 20180201, 131951), 

('T0000045', 'C0000090', '', 'POS00005', 20180201, 151636), 

('T0000046', 'C0000066', '', 'POS00003', 20180201, 163613), 

('T0000047', 'C0000033', '', 'POS00001', 20180201, 191450), 

('T0000048', 'C0000077', '', 'POS00004', 20180202, 192816), 

('T0000049', 'C0000094', '', 'POS00001', 20180203, 081948), 

('T0000050', 'C0000095', '', 'POS00005', 20180204, 095137), 

('T0000051', 'C0000008', '', 'POS00004', 20180204, 141007), 

('T0000052', 'C0000045', '', 'POS00001', 20180205, 090311), 

('T0000053', 'C0000080', '', 'POS00002', 20180205, 144154), 

('T0000054', 'C0000049', '', 'POS00001', 20180206, 095804), 

('T0000055', 'C0000070', '', 'POS00003', 20180206, 110159), 

('T0000056', 'C0000020', '', 'POS00004', 20180206, 164508), 

('T0000057', 'C0000047', '', 'POS00002', 20180207, 100236), 

('T0000058', 'C0000068', '', 'POS00005', 20180207, 110404), 

('T0000059', 'C0000003', '', 'POS00004', 20180207, 113815), 

('T0000060', 'C0000043', '', 'POS00004', 20180208, 152539), 

('T0000061', 'C0000078', '', 'POS00001', 20180209, 084344), 

('T0000062', 'C0000021', '', 'POS00002', 20180209, 183833), 

('T0000063', 'C0000069', '', 'POS00002', 20180212, 093317), 

('T0000064', 'C0000086', '', 'POS00002', 20180212, 095035), 

('T0000065', 'C0000088', '', 'POS00003', 20180213, 102010), 

('T0000066', 'C0000079', '', 'POS00005', 20180213, 142831), 

('T0000067', 'C0000039', '', 'POS00002', 20180213, 151332), 

('T0000068', 'C0000012', '', 'POS00003', 20180213, 154357), 

('T0000069', 'C0000080', '', 'POS00004', 20180214, 104151), 

('T0000070', 'C0000048', '', 'POS00001', 20180214, 170102), 

('T0000071', 'C0000056', '', 'POS00001', 20180215, 180057), 

('T0000072', 'C0000031', '', 'POS00004', 20180215, 183549), 

('T0000073', 'C0000001', '', 'POS00001', 20180216, 094518), 

('T0000074', 'C0000017', '', 'POS00001', 20180216, 094830), 

('T0000075', 'C0000032', '', 'POS00002', 20180216, 132721), 

('T0000076', 'C0000043', '', 'POS00003', 20180216, 190221), 

('T0000077', 'C0000024', '', 'POS00005', 20180220, 100332), 

('T0000078', 'C0000076', '', 'POS00004', 20180221, 145600), 

('T0000079', 'C0000076', '', 'POS00003', 20180222, 151824), 

('T0000080', 'C0000038', '', 'POS00002', 20180222, 160710), 

('T0000081', 'C0000048', '', 'POS00004', 20180223, 131318), 

('T0000082', 'C0000100', '', 'POS00003', 20180225, 160213), 

('T0000083', 'C0000021', '', 'POS00005', 20180227, 164352), 

