insert into carOrder (carOrderID, transactionID, carID, salesID, quantity, totalPrice) values

('CO000001','T0000001', 'CA000012', 'S0000003', 1, 114000000), 
('CO000002','T0000002', 'CA000011', 'S0000005', 1, 202300000), 
('CO000003','T0000002', 'CA000019', 'S0000004', 1, 161000000), 
('CO000004','T0000003', 'CA000015', 'S0000001', 1, 542500000), 
('CO000005','T0000003', 'CA000002', 'S0000003', 1, 191100000), 
('CO000006','T0000004', 'CA000012', 'S0000001', 1, 114000000), 
('CO000007','T0000006', 'CA000028', 'S0000002', 1, 203000000), 
('CO000008','T0000007', 'CA000025', 'S0000003', 1, 579800000), 
('CO000009','T0000008', 'CA000023', 'S0000003', 1, 208800000), 
('CO000010','T0000010', 'CA000027', 'S0000004', 1, 389000000), 
('CO000011','T0000012', 'CA000018', 'S0000002', 1, 260000000), 
('CO000012','T0000012', 'CA000019', 'S0000005', 1, 161000000), 
('CO000013','T0000012', 'CA000018', 'S0000005', 1, 260000000), 
('CO000014','T0000014', 'CA000025', 'S0000004', 1, 579800000), 
('CO000015','T0000018', 'CA000003', 'S0000004', 1, 476050000), 
('CO000016','T0000020', 'CA000015', 'S0000002', 1, 542500000), 
('CO000017','T0000020', 'CA000024', 'S0000004', 1, 339800000), 
('CO000018','T0000021', 'CA000015', 'S0000003', 1, 542500000), 
('CO000019','T0000021', 'CA000028', 'S0000005', 1, 203000000), 
('CO000020','T0000023', 'CA000022', 'S0000005', 1, 150800000), 
('CO000021','T0000024', 'CA000017', 'S0000001', 1, 386500000), 
('CO000022','T0000026', 'CA000013', 'S0000004', 2, 410600000), 
('CO000023','T0000028', 'CA000011', 'S0000003', 1, 202300000), 
('CO000024','T0000029', 'CA000029', 'S0000002', 2, 344000000), 
('CO000025','T0000029', 'CA000021', 'S0000005', 1, 201000000), 
('CO000026','T0000030', 'CA000021', 'S0000002', 2, 402000000), 
('CO000027','T0000030', 'CA000004', 'S0000004', 1, 244800000), 
('CO000028','T0000032', 'CA000024', 'S0000005', 1, 339800000), 
('CO000029','T0000033', 'CA000007', 'S0000001', 1, 210300000), 
('CO000030','T0000033', 'CA000027', 'S0000002', 2, 778000000), 
('CO000031','T0000034', 'CA000010', 'S0000002', 1, 98150000), 
('CO000032','T0000037', 'CA000018', 'S0000004', 1, 260000000), 
('CO000033','T0000037', 'CA000013', 'S0000005', 1, 205300000), 
('CO000034','T0000039', 'CA000004', 'S0000001', 1, 244800000), 
('CO000035','T0000040', 'CA000019', 'S0000005', 1, 161000000), 
('CO000036','T0000041', 'CA000028', 'S0000002', 1, 203000000), 
('CO000037','T0000042', 'CA000007', 'S0000002', 1, 210300000), 
('CO000038','T0000043', 'CA000015', 'S0000003', 1, 542500000), 
('CO000039','T0000044', 'CA000010', 'S0000003', 1, 98150000), 
('CO000040','T0000044', 'CA000028', 'S0000003', 1, 203000000), 
('CO000041','T0000045', 'CA000001', 'S0000002', 1, 312050000), 
('CO000042','T0000046', 'CA000006', 'S0000003', 1, 203000000), 
('CO000043','T0000047', 'CA000005', 'S0000002', 1, 147000000), 
('CO000044','T0000048', 'CA000021', 'S0000001', 1, 201000000), 
('CO000045','T0000048', 'CA000005', 'S0000002', 1, 147000000), 
('CO000046','T0000051', 'CA000028', 'S0000002', 2, 406000000), 
('CO000047','T0000054', 'CA000028', 'S0000003', 1, 203000000), 
('CO000048','T0000054', 'CA000004', 'S0000004', 1, 244800000), 
('CO000049','T0000055', 'CA000030', 'S0000005', 1, 562640000), 
('CO000050','T0000055', 'CA000012', 'S0000004', 1, 114000000), 
('CO000051','T0000056', 'CA000017', 'S0000002', 1, 386500000), 
('CO000052','T0000059', 'CA000004', 'S0000004', 2, 489600000), 
('CO000053','T0000059', 'CA000012', 'S0000003', 1, 114000000), 
('CO000054','T0000060', 'CA000011', 'S0000005', 1, 202300000), 
('CO000055','T0000060', 'CA000018', 'S0000004', 1, 260000000), 
('CO000056','T0000060', 'CA000026', 'S0000002', 2, 581200000), 
('CO000057','T0000066', 'CA000021', 'S0000002', 1, 201000000), 
