insert into jobOrder (jobOrderID,transactionID,jobID,licensePlate,status) values

('JO000001', 'T0000003', 'J0000021', 'B5405M', 'finished'),
('JO000002', 'T0000008', 'J0000006', 'B7444I', 'finished'),
('JO000003', 'T0000009', 'J0000013', 'B7320D', 'finished'),
('JO000004', 'T0000014', 'J0000021', 'B9748E', 'finished'),
('JO000005', 'T0000015', 'J0000009', 'B1626N', 'finished'),
('JO000006', 'T0000016', 'J0000004', 'B4174A', 'finished'),
('JO000007', 'T0000017', 'J0000008', 'B6421O', 'finished'),
('JO000008', 'T0000020', 'J0000017', 'B7541L', 'finished'),
('JO000009', 'T0000024', 'J0000011', 'B1597E', 'finished'),
('JO000010', 'T0000027', 'J0000001', 'B2845F', 'finished'),
('JO000011', 'T0000027', 'J0000002', 'B550JJ', 'finished'),
('JO000012', 'T0000028', 'J0000003', 'B618GG', 'finished'),
('JO000013', 'T0000030', 'J0000009', 'B3315C', 'finished'),
('JO000014', 'T0000033', 'J0000019', 'B2392O', 'finished'),
('JO000015', 'T0000033', 'J0000010', 'B4131O', 'finished'),
('JO000016', 'T0000036', 'J0000021', 'B8987C', 'finished'),
('JO000017', 'T0000037', 'J0000014', 'B8987M', 'finished'),
('JO000018', 'T0000038', 'J0000021', 'B3617N', 'finished'),
('JO000019', 'T0000044', 'J0000005', 'B2740I', 'finished'),
('JO000020', 'T0000046', 'J0000006', 'B3463A', 'finished'),
('JO000021', 'T0000046', 'J0000019', 'B9802O', 'finished'),
('JO000022', 'T0000048', 'J0000002', 'B3778L', 'finished'),
('JO000023', 'T0000049', 'J0000010', 'B75858K', 'finished'),
('JO000024', 'T0000052', 'J0000007', 'B1361B', 'finished'),
('JO000025', 'T0000052', 'J0000003', 'B8929G', 'finished'),
('JO000026', 'T0000055', 'J0000009', 'B8267D', 'finished'),
('JO000027', 'T0000057', 'J0000017', 'B1274G', 'finished'),
('JO000028', 'T0000061', 'J0000001', 'B8531K', 'finished'),
('JO000029', 'T0000064', 'J0000006', 'B7558I', 'finished'),
('JO000030', 'T0000066', 'J0000012', 'B8387D', 'finished'),
('JO000031', 'T0000067', 'J0000009', 'B502BB', 'finished'),
('JO000032', 'T0000067', 'J0000018', 'B8031K', 'finished'),
('JO000033', 'T0000067', 'J0000006', 'B3835E', 'finished'),
('JO000034', 'T0000068', 'J0000009', 'B4882D', 'finished'),
('JO000035', 'T0000071', 'J0000013', 'B6095L', 'finished'),
('JO000036', 'T0000073', 'J0000007', 'B9752B', 'finished'),
('JO000037', 'T0000073', 'J0000020', 'B3291B', 'finished'),
('JO000038', 'T0000074', 'J0000017', 'B8747B', 'finished'),
('JO000039', 'T0000075', 'J0000006', 'B4989M', 'finished'),
('JO000040', 'T0000077', 'J0000005', 'B9667H', 'finished'),
('JO000041', 'T0000078', 'J0000004', 'B3234M', 'finished'),
('JO000042', 'T0000079', 'J0000018', 'B2555K', 'finished'),
('JO000043', 'T0000079', 'J0000019', 'B8040O', 'finished'),
('JO000044', 'T0000080', 'J0000003', 'B729KK', 'finished'),
('JO000045', 'T0000080', 'J0000009', 'B8147L', 'finished'),
('JO000046', 'T0000081', 'J0000019', 'B5060C', 'finished'),
('JO000047', 'T0000081', 'J0000017', 'B1689B', 'finished'),
('JO000048', 'T0000082', 'J0000006', 'B5645L', 'finished'),
('JO000049', 'T0000083', 'J0000016', 'B3663O', 'finished'),
('JO000050', 'T0000084', 'J0000013', 'B1868E', 'finished'),
('JO000051', 'T0000084', 'J0000015', 'B2501I', 'finished'),
('JO000052', 'T0000088', 'J0000005', 'B8954L', 'finished'),
('JO000053', 'T0000090', 'J0000020', 'B1712L', 'finished'),
('JO000054', 'T0000093', 'J0000017', 'B1895I', 'finished'),
('JO000055', 'T0000095', 'J0000016', 'B1361F', 'finished'),
('JO000056', 'T0000096', 'J0000022', 'B7524B', 'finished'),
('JO000057', 'T0000097', 'J0000009', 'B8587H', 'finished'),
('JO000058', 'T0000098', 'J0000022', 'B2397K', 'finished'),
('JO000059', 'T0000099', 'J0000012', 'B1144H', 'finished'),
('JO000060', 'T0000101', 'J0000021', 'B7516D', 'finished'),
('JO000061', 'T0000104', 'J0000004', 'B1640O', 'finished'),
('JO000062', 'T0000105', 'J0000017', 'B1630O', 'finished'),
('JO000063', 'T0000106', 'J0000018', 'B9878A', 'finished'),
('JO000064', 'T0000106', 'J0000009', 'B8014F', 'finished'),
('JO000065', 'T0000107', 'J0000008', 'B6384J', 'finished'),
('JO000066', 'T0000109', 'J0000001', 'B3786M', 'finished'),
('JO000067', 'T0000109', 'J0000016', 'B8462O', 'finished'),
('JO000068', 'T0000110', 'J0000002', 'B1511O', 'finished'),
('JO000069', 'T0000111', 'J0000013', 'B4216E', 'finished'),
('JO000070', 'T0000113', 'J0000011', 'B1164D', 'finished'),
