insert into jobWorker(jobOrderID, employeeID)
values

('JO000001', 'E0000002'), 
('JO000002', 'E0000008'), 
('JO000003', 'E0000005'), 
('JO000004', 'E0000001'), 
('JO000005', 'E0000010'), 
('JO000006', 'E0000005'), 
('JO000007', 'E0000009'), 
('JO000008', 'E0000009'), 
('JO000009', 'E0000003'), 
('JO000010', 'E0000005'), 
('JO000011', 'E0000006'), 
('JO000012', 'E0000006'), 
('JO000013', 'E0000002'), 
('JO000014', 'E0000008'), 
('JO000015', 'E0000002'), 
('JO000016', 'E0000002'), 
('JO000017', 'E0000006'), 
('JO000018', 'E0000003'), 
('JO000019', 'E0000008'), 
('JO000020', 'E0000007'), 
('JO000021', 'E0000002'), 
('JO000022', 'E0000005'), 
('JO000023', 'E0000003'), 
('JO000024', 'E0000004'), 
('JO000025', 'E0000003'), 
('JO000026', 'E0000003'), 
('JO000027', 'E0000002'), 
('JO000028', 'E0000007'), 
('JO000029', 'E0000009'), 
('JO000030', 'E0000006'), 
('JO000031', 'E0000008'), 
('JO000032', 'E0000007'), 
('JO000033', 'E0000002'), 
('JO000034', 'E0000009'), 
('JO000035', 'E0000010'), 
('JO000036', 'E0000003'), 
('JO000037', 'E0000008'), 
('JO000038', 'E0000010'), 
('JO000039', 'E0000006'), 
('JO000040', 'E0000005'), 
('JO000041', 'E0000004'), 
('JO000042', 'E0000002'), 
('JO000043', 'E0000003'), 
('JO000044', 'E0000004'), 
('JO000045', 'E0000004'), 
('JO000046', 'E0000005'), 
('JO000047', 'E0000002'), 
('JO000048', 'E0000002'), 
('JO000049', 'E0000004'), 
('JO000050', 'E0000009'), 
('JO000051', 'E0000008'), 
('JO000052', 'E0000005'), 
('JO000053', 'E0000003'), 
('JO000054', 'E0000008'), 
('JO000055', 'E0000008'), 
('JO000056', 'E0000010'), 
('JO000057', 'E0000004'), 
('JO000058', 'E0000002'), 
('JO000059', 'E0000010'), 
('JO000060', 'E0000009'), 
('JO000061', 'E0000007'), 
('JO000062', 'E0000006'), 
('JO000063', 'E0000001'), 
('JO000064', 'E0000003'), 
('JO000065', 'E0000009'), 
('JO000066', 'E0000007'), 
('JO000067', 'E0000001'), 
('JO000068', 'E0000003'), 
('JO000069', 'E0000005'), 
('JO000070', 'E0000009'), 
('JO000071', 'E0000007'), 
('JO000072', 'E0000006'), 
('JO000073', 'E0000001'), 
('JO000074', 'E0000010'), 
('JO000075', 'E0000001'), 
('JO000076', 'E0000001'), 
('JO000077', 'E0000007'), 
('JO000078', 'E0000002'), 
('JO000079', 'E0000004'), 
('JO000080', 'E0000009'), 
('JO000081', 'E0000010'), 
('JO000082', 'E0000004'), 
('JO000083', 'E0000005'), 
('JO000084', 'E0000005'), 
('JO000085', 'E0000007'), 
('JO000086', 'E0000001'), 
('JO000087', 'E0000007'), 
('JO000088', 'E0000007'), 
('JO000089', 'E0000002'), 
('JO000090', 'E0000009'), 
('JO000091', 'E0000005'), 
('JO000092', 'E0000010'), 
('JO000093', 'E0000007'), 
('JO000094', 'E0000004'), 
('JO000095', 'E0000008'), 
('JO000096', 'E0000009'), 
('JO000097', 'E0000009'), 
('JO000098', 'E0000003'), 
('JO000099', 'E0000010'), 
('JO000100', 'E0000002');
